date,open,high,low,close,log_return,cumulative_log_return,decision
2024-04-01 09:59:00,7578.740220128049,7583.065896682065,7566.034267456566,7573.127984457077,,,Sell
2024-04-01 10:09:00,7600.425365081648,7576.809897802038,7564.420954536376,7579.722602000433,0.0008704128536184036,0.0008704128536184036,Hold
2024-04-01 10:19:00,7590.99941011438,7583.543049139012,7557.463542568061,7578.196574800316,-0.00020135048715767026,0.0006690623664607333,Hold
2024-04-01 10:29:00,7606.364261563916,7597.592538149232,7560.43808826466,7577.10655537166,-0.00014384660223201452,0.0005252157642287188,Hold
2024-04-01 10:39:00,7619.658672037983,7594.994708105834,7569.563389469478,7580.322112686185,0.00042428797564323783,0.0009495037398719566,Hold
2024-04-01 10:49:00,7614.8639666211075,7561.010849783002,7565.479691140247,7590.731798229826,0.0013723090351429146,0.002321812775014871,Hold
2024-04-01 10:59:00,7623.527127544781,7571.50820383592,7563.563882047523,7571.002446571195,-0.0026025205924127223,-0.00028070781739785106,Hold
2024-04-01 11:09:00,7639.545802460256,7568.804339913198,7572.185022964784,7565.170842627898,-0.0007705519909712766,-0.0010512598083691276,Buy
2024-04-01 11:19:00,7643.795654988853,7560.0565448691,7567.798828463019,7572.419471828444,0.0009576992908379559,-9.356051753117169e-05,Buy
2024-04-01 11:29:00,7636.276685130567,7567.744001119977,7569.7650535845,7570.675440742596,-0.00023034011258974273,-0.00032390063012091444,Sell
2024-04-01 11:39:00,7632.680656067909,7569.334509309813,7572.84043133861,7573.400489314229,0.000359883113849907,3.598248372899257e-05,Buy
2024-04-01 11:49:00,7628.975656427593,7588.791726165475,7573.495839712437,7573.618493199961,2.87850548017952e-05,6.476753853078777e-05,Sell
2024-04-01 11:59:00,7626.033450830873,7597.592538149234,7581.612820342137,7565.443347485059,-0.0010800070170222374,-0.0010152394784914496,Buy
2024-04-01 12:09:00,7629.738450471184,7600.614503709924,7590.687705518199,7568.549902856723,0.0004105400820402045,-0.0006046993964512451,Sell
2024-04-01 12:19:00,7631.427494424855,7600.614503709924,7596.586380882638,7573.61849319996,0.0006694669349816978,6.476753853045273e-05,Buy
2024-04-01 12:29:00,7635.295949931649,7600.720537589246,7591.696026093316,7566.424364970842,-0.0009503445714073441,-0.0008855770328768913,Sell
2024-04-01 12:39:00,7635.895288108753,7599.130029399411,7593.813499301063,7547.076520112239,-0.0025603406616415796,-0.003445917694518471,Buy
