date,open,high,low,close,volume,log_return,cumulative_log_return,decision
2024-04-01 09:59:00,7572.241263311722,7573.226448309654,7571.425921502008,7571.839959723747,225.4155513730372,,,Hold
2024-04-01 10:09:00,7567.209160697987,7568.988057300858,7566.531747480466,7567.0370404606465,145.25364677394623,-0.0006345146240613763,-0.0006345146240613763,Hold
2024-04-01 10:19:00,7573.321763854436,7575.094830982211,7572.327754127592,7573.443393388744,327.3104225041553,0.0008462549571542972,0.00021174033309292084,Hold
2024-04-01 10:29:00,7573.091845332693,7573.932525017224,7572.85567730094,7573.337266888331,369.9369556856403,-1.4013076810832906e-05,0.00019772725628208794,Hold
2024-04-01 10:39:00,7574.014718701683,7574.938735844027,7573.759182094465,7574.026256623156,257.334955887511,9.097157194779753e-05,0.0002886988282298855,Hold
2024-04-01 10:49:00,7571.567695255135,7572.969420609466,7571.166332899057,7571.566379444068,320.0751272458478,-0.0003248307622984606,-3.61319340685751e-05,Hold
2024-04-01 10:59:00,7573.778315795341,7575.560391860708,7573.0148263283645,7573.690316286865,467.9152531200973,0.00028047551776641115,0.00024434358369783605,Hold
2024-04-01 11:09:00,7579.925061230437,7581.407936888293,7579.098866869547,7580.083175643225,597.7420623637452,0.000843731726492074,0.00108807531018991,Hold
2024-04-01 11:19:00,7585.2735968612515,7586.035756595532,7584.813622938307,7585.489713652407,513.5163495242629,0.0007130015170138689,0.001801076827203779,Hold
2024-04-01 11:29:00,7591.0833123290195,7592.323079021642,7590.212530773011,7591.080361604504,414.4746484104184,0.0007367472593948272,0.002537824086598606,Hold
2024-04-01 11:39:00,7591.53129238654,7592.409796615966,7590.975387431757,7591.654293993386,328.3483380910733,7.56032957400601e-05,0.002613427382338666,Hold
2024-04-01 11:49:00,7597.283172497281,7599.194221980701,7596.234429103368,7597.480763983485,489.6723998439203,0.0007671892117145875,0.0033806165940532536,Hold
2024-04-01 11:59:00,7609.5911588135905,7610.651850655459,7608.834425783682,7609.786012087565,467.4454462045601,0.0016183382551138987,0.004998954849167152,Hold
2024-04-01 12:09:00,7612.92321709518,7613.565159364518,7612.284633569345,7612.895525066402,390.6029783709893,0.0004085368290069801,0.005407491678174133,Hold
2024-04-01 12:19:00,7613.741111454823,7615.190522898073,7612.805862221951,7613.693070853324,343.6479410378539,0.00010475698908211455,0.005512248667256248,Hold
2024-04-01 12:29:00,7614.240537439442,7614.839054322101,7614.040447395399,7614.248770946717,281.5042737384999,7.29842679218039e-05,0.005585232935178051,Hold
2024-04-01 12:39:00,7615.438558198643,7616.902607599133,7614.508408420168,7615.300585953868,378.1575151103732,0.00013812818543408682,0.005723361120612138,Hold
2024-04-01 12:49:00,7614.773494140934,7616.045628183255,7613.858331218487,7614.419351642771,287.3502973910697,-0.00011572560962263007,0.005607635510989508,Hold
2024-04-01 12:59:00,7614.4338001607775,7616.618767453472,7613.304088507201,7614.467700210592,449.16114936421656,6.3495865004613965e-06,0.005613985097489969,Hold
2024-04-01 13:09:00,7623.981987073003,7624.827374127029,7623.410228730658,7624.331495080776,463.6643941607285,0.0012945634523209883,0.006908548549810958,Hold
2024-04-01 13:19:00,7632.202348010219,7633.683908827394,7631.433568193793,7632.57024204203,434.8242554763482,0.0010800027297834067,0.007988551279594365,Hold
2024-04-01 13:29:00,7650.189244028139,7652.681396957849,7649.0021817887155,7650.982840103999,814.3800944504136,0.0024094668132352156,0.010398018092829581,Hold
2024-04-01 13:39:00,7668.194666664266,7669.421465749549,7667.192735696682,7668.506174892561,792.5137269763575,0.0022877189198676155,0.012685737012697196,Hold
2024-04-01 13:49:00,7669.886474654821,7670.29125865495,7669.464508437441,7670.037521231326,465.1759715085788,0.0001996729773296527,0.01288540999002685,Hold
2024-04-01 13:59:00,7672.944608827833,7674.438629127917,7671.931708230897,7672.976290648013,383.8024126588063,0.0003830759052500123,0.013268485895276861,Hold
2024-04-01 14:09:00,7667.515206584777,7668.528438826761,7665.705638436228,7666.496388227703,596.8379207855421,-0.0008448664359471799,0.012423619459329682,Hold
2024-04-01 14:19:00,7658.121415468352,7658.985374326212,7657.277339443235,7657.955894976143,459.0693044010841,-0.0011146230844590026,0.01130899637487068,Hold
2024-04-01 14:29:00,7656.533772255105,7656.886329983312,7656.28857276944,7656.531833059154,432.6358044330193,-0.00018597578272055017,0.01112302059215013,Hold
2024-04-01 14:39:00,7654.1794601276415,7655.52650434636,7653.573941855562,7654.060886386893,303.94502356318026,-0.0003227760987432116,0.010800244493406918,Hold
2024-04-01 14:49:00,7653.076485838911,7654.529036419131,7652.473096340827,7652.891635351434,448.2991416052361,-0.0001527738504542387,0.01064747064295268,Hold
2024-04-01 14:59:00,7655.819101680492,7658.11422494048,7654.651386513712,7655.896728948234,617.1883101650125,0.0003925971884760532,0.011040067831428734,Hold
2024-04-01 15:09:00,7660.715152637182,7663.091357467961,7659.321115770506,7661.252007535241,928.1587687643764,0.0006992527000090925,0.011739320531437827,Hold
2024-04-01 15:19:00,7667.136461335436,7668.360452190292,7665.98119543334,7667.076368112748,556.2650149119903,0.0007599472969365377,0.012499267828374365,Hold
2024-04-01 15:29:00,7672.188403756436,7672.842303068571,7671.676771616616,7672.360742478343,337.9905119105397,0.0006889919801544627,0.013188259808528828,Hold
2024-04-01 15:39:00,7675.016201945635,7675.995879293911,7674.067576312247,7674.935248024025,281.8295953402647,0.0003354995657117312,0.013523759374240558,Hold
2024-04-01 15:49:00,7678.17747214973,7679.959356671762,7677.753195504059,7678.714099486041,364.341512131883,0.0004922414798968291,0.014016000854137388,Hold
2024-04-01 15:59:00,7689.249872207387,7691.549147922005,7687.434892741153,7688.915430380296,1258.3815756422264,0.0013276390314923608,0.01534363988562975,Hold
2024-04-01 16:09:00,7673.893228148625,7675.281977408548,7672.131632532035,7673.328754708253,729.9998222474229,-0.0020292192771744,0.013314420608455349,Hold
2024-04-01 16:19:00,7660.274182943154,7661.164122330268,7658.976465759549,7659.501585100843,426.4026002413055,-0.0018036035160199707,0.011510817092435378,Hold
2024-04-01 16:29:00,7657.863742317476,7658.794903301799,7657.222748909575,7657.907893092578,317.9107283053928,-0.00020808897435102225,0.011302728118084356,Hold
2024-04-01 16:39:00,7656.3926234114115,7657.00408564789,7656.071640656262,7656.292503175946,227.28885682399783,-0.00021096627715761634,0.01109176184092674,Hold
2024-04-01 16:49:00,7653.059336286252,7654.053603861443,7652.575902044849,7652.94343957791,425.1741779247421,-0.0004375219852883074,0.010654239855638433,Hold
2024-04-01 16:59:00,7645.022593145523,7646.175410772656,7643.238689832317,7643.925278792938,505.8749905962189,-0.0011790859941065654,0.009475153861531867,Hold
2024-04-01 17:09:00,7628.558001196414,7629.449519520733,7627.958948534899,7628.380281005649,646.2347095361927,-0.0020357113855253065,0.00743944247600656,Hold
2024-04-01 17:19:00,7627.847829343988,7629.163239600921,7627.135883762443,7627.746990368,354.6976141574008,-8.302115297639867e-05,0.007356421323030161,Hold
2024-04-03 10:29:00,7630.140264983607,7631.839815584392,7629.567364681638,7630.442930583867,443.9137574131323,0.00035337615508620963,0.00770979747811637,Hold
2024-04-03 10:39:00,7632.737584249351,7633.67897079242,7631.987014408463,7632.491610570633,441.37147554284775,0.0002684516524060786,0.007978249130522449,Hold
2024-04-03 10:49:00,7631.832357869804,7632.564707861204,7631.278369006056,7631.854523794184,373.6981289827328,-8.347383781935283e-05,0.007894775292703096,Hold
